Seat_ID,Table_ID,Room_ID,Cleanliness,Noise,Seat_Available,Table_Available,Room_Available
1,1,1,52,93,True,True,True
2,1,1,15,72,True,True,True
3,1,1,61,21,True,True,True
4,1,1,83,87,True,True,True
5,1,1,75,75,True,True,True
6,1,1,88,100,True,True,True
7,1,1,24,3,True,True,True
8,1,1,22,53,True,True,True
9,1,1,2,88,True,True,True
10,1,1,30,38,True,True,True
11,2,2,2,64,True,True,True
12,2,2,60,21,True,True,True
13,2,2,33,76,True,True,True
14,2,2,58,22,True,True,True
15,2,2,89,49,True,True,True
16,2,2,91,59,True,True,True
17,2,2,42,92,True,True,True
18,2,2,60,80,True,True,True
19,2,2,15,62,True,True,True
20,2,2,62,47,True,True,True
21,3,3,62,51,True,True,True
22,3,3,55,64,True,True,True
23,3,3,3,51,True,True,True
24,3,3,7,21,True,True,True
25,3,3,73,39,True,True,True
26,3,3,18,4,True,True,True
27,3,3,89,60,True,True,True
28,3,3,14,9,True,True,True
29,3,3,90,53,True,True,True
30,3,3,2,84,True,True,True
31,4,4,92,60,True,True,True
32,4,4,71,44,True,True,True
33,4,4,8,47,True,True,True
34,4,4,35,78,True,True,True
35,4,4,81,36,True,True,True
36,4,4,50,4,True,True,True
37,4,4,2,6,True,True,True
38,4,4,54,4,True,True,True
39,4,4,54,93,True,True,True
40,4,4,63,18,True,True,True
41,5,5,90,44,True,True,True
42,5,5,34,74,True,True,True
43,5,5,62,100,True,True,True
44,5,5,14,95,True,True,True
45,5,5,48,15,True,True,True
46,5,5,72,78,True,True,True
47,5,5,87,62,True,True,True
48,5,5,40,85,True,True,True
49,5,5,80,82,True,True,True
50,5,5,53,24,True,True,True
51,6,1,26,89,True,True,True
52,6,1,60,41,True,True,True
53,6,1,29,15,True,True,True
54,6,1,45,65,True,True,True
55,6,1,89,71,True,True,True
56,6,1,9,88,True,True,True
57,6,1,1,8,True,True,True
58,6,1,88,63,True,True,True
59,6,1,11,81,True,True,True
60,6,1,8,35,True,True,True
61,7,2,35,33,True,True,True
62,7,2,5,41,True,True,True
63,7,2,28,7,True,True,True
64,7,2,73,72,True,True,True
65,7,2,12,34,True,True,True
66,7,2,33,48,True,True,True
67,7,2,23,62,True,True,True
68,7,2,88,37,True,True,True
69,7,2,99,44,True,True,True
70,7,2,86,91,True,True,True
71,8,3,35,65,True,True,True
72,8,3,99,47,True,True,True
73,8,3,78,3,True,True,True
74,8,3,1,5,True,True,True
75,8,3,90,14,True,True,True
76,8,3,27,9,True,True,True
77,8,3,79,15,True,True,True
78,8,3,90,42,True,True,True
79,8,3,77,51,True,True,True
80,8,3,63,96,True,True,True
81,9,4,52,96,True,True,True
82,9,4,4,94,True,True,True
83,9,4,23,15,True,True,True
84,9,4,43,29,True,True,True
85,9,4,36,13,True,True,True
86,9,4,32,71,True,True,True
87,9,4,59,86,True,True,True
88,9,4,28,66,True,True,True
89,9,4,42,45,True,True,True
90,9,4,62,57,True,True,True
91,10,5,6,28,True,True,True
92,10,5,28,44,True,True,True
93,10,5,84,30,True,True,True
94,10,5,62,75,True,True,True
95,10,5,92,89,True,True,True
96,10,5,62,97,True,True,True
97,10,5,1,27,True,True,True
98,10,5,62,77,True,True,True
99,10,5,3,70,True,True,True
100,10,5,72,27,True,True,True
